####################
#                  #
#      Events      #
#                  #
####################

EVTTITLEvamptech.1;The New Fledgling;;;;;;;;;;;;;x
EVTDESCvamptech.1;"The Curse of Justinian now flows through my veins. Though I am now immune to the ailments of man, and even death itself, the cost is great. 
The only way I can survive is with the mana taken directly from other's blood. 
And though the priests and holy men guard the secret of our existence closely from the peasantry and nobility alike, their patience will not extend far before they find a reason within their holy scriptures to destroy me...";;;;;;;;;;;;;x
vamptech1optA;"What have I become...?";;;;;;;;;;;;;x

#### Vampire Hunting Events ####

EVTDESCvampirehunt.11111;You manage to catch your target fleeing down a dark alley, perhaps from you, or perhaps from the more normal city dangers. [FromFrom.GetTitledNameWithNick] doesn't immediately recognise you through your disguise, and you take the opportunity to render them unconcious and begin feeding.;;;;;;;;;;;;;x
vampirehunt11111optA;"Now to make my escape...";;;;;;;;;;;;;x

EVTDESCvampirehunt.1;You stalk your prey for some time until finally an opportunity to strike presents itself.;;;;;;;;;;;;;x
vampirehunt1optA;"I will feed!";;;;;;;;;;;;;x
vampirehunt1optB;"The risk is too great.";;;;;;;;;;;;;x

EVTDESCvampirehunt.2;Using your charm and wit, you manage to make aquaintances with your target, all that remains is to temporarily bind them to your will.;;;;;;;;;;;;;x
vampirehunt2optA;"Look into my eyes!";;;;;;;;;;;;;x
vampirehunt2optB;"Excuse me, I must be going.";;;;;;;;;;;;;x
EVTOPTC_HFP_10105_fighting_vampire;Feed on your target...;;;;;;;;;;;;;x
EVTOPTC_HFP_10105_fighting_vampire_2;Drain the last of their life force...;;;;;;;;;;;;;x

EVTDESCvampirehunt.3;You wait until your target is alone and vulnerable before perparing to strike at them, turning them into a mindless servant for simple feeding cattle, or for nefarious political gain.
All that remains is to attack!;;;;;;;;;;;;;x
vampirehunt3optA;"Look into my eyes!";;;;;;;;;;;;;x
vampirehunt3optB;"Excuse me, turns out I have the wrong person!";;;;;;;;;;;;;x
avoiding_suspicion_thrall_success;of enthralling target and avoiding suspicion.;;;;;;;;;;;;;x
people_ask_questions_thrall;of enthralling target but becoming suspicious!;;;;;;;;;;;;;x
failure_thrall_gain_suspicion;of failing to enthrall the target and becoming suspicious!;;;;;;;;;;;;;x
escape_no_suspicion;of escaping with no suspicion.;;;;;;;;;;;;;x
escaping_suspicion;of escaping but gaining suspicion!;;;;;;;;;;;;;x

EVTDESCvamphunger.1;Your vampiric hunger begins to grow. If you do not feed frequently and maintain your Haemomana you will eventually wither away and risk death!;;;;;;;;;;;;;x
vamphunger1OPTa;I will soon feed.;;;;;;;;;;;;;x
vamphunger1OPTb;The pain grows!;;;;;;;;;;;;;x
vamphunger1OPTc;I feel so weak...;;;;;;;;;;;;;x
hunger_grows;Your hunger grows and you will need to feed soon!;;;;;;;;;;;;;x
hunger_grows_strong;Your hunger continues to grow and drains you greatly!;;;;;;;;;;;;;x
hunger_grows_greatly;Your hunger is all consuming, and you risk death!;;;;;;;;;;;;;x
EVTDESCvamphunger.3;You no longer have the Haemomana to sustain your power. Death approaches rapidly and you begin to wither and die.;;;;;;;;;;;;;x
vamphunger3OPTa;No... not like this...;;;;;;;;;;;;;x

EVTDESCvampirehunt.11112;You summon the thrall to your personal quarters and drain them of their blood. After you are finished the thrall bows and continues their business.;;;;;;;;;;;;;x
vampirehunt11112optA;A necessary feed.;;;;;;;;;;;;;x

